v1,v2,v3
27,106,52
28,109,51
28,99,51
28,110,50
28,113,51
29,102,50
27,108,50
28,105,48
28,105,49
27,105,50
27,99,50
26,103,49
28,100,48
28,106,49
27,112,49
26,107,47
28,104,49
26,101,48
27,105,47
28,99,48
27,97,48
26,97,46
27,94,47
26,95,48
28,94,48
28,99,50
27,102,48
28,95,49
26,98,50
28,97,51
27,96,53
27,93,50
28,89,50
27,93,53
25,90,52
27,99,51
28,99,53
27,95,52
28,96,53
27,96,53
28,91,54
27,96,54
29,96,54
27,104,55
27,103,55
28,102,55
26,101,55
27,99,56
27,108,56
28,111,55
26,108,55
28,112,55
27,108,54
28,123,57
27,124,55
27,120,55
27,116,56
26,119,54
26,123,60
27,116,55
26,130,53
28,130,54
26,132,55
27,131,55
28,127,56
26,127,54
27,126,54
27,127,53
26,130,54
28,127,54
26,133,54
28,130,55
26,129,54
26,131,54
29,100,54
27,102,53
28,102,53
27,104,53
28,100,55
29,95,55
28,96,53
29,89,53
29,90,55
29,95,53
26,91,53
27,90,51
26,83,50
27,89,52
28,91,50
27,87,53
25,93,51
26,90,50
27,89,51
26,89,50
25,87,50
27,89,50
26,87,50
27,85,49
28,88,50
26,89,50
25,88,48
27,81,49
29,83,50
27,85,48
26,81,47
27,84,49
26,84,47
28,79,48
28,86,48
26,84,48
27,83,48
28,78,49
26,84,46
28,81,47
27,79,45
26,82,46
27,78,47
27,82,49
27,83,47
27,89,46
28,89,45
27,89,49
27,91,49
26,95,50
28,90,50
28,88,50
26,88,51
28,87,50
28,92,52
27,90,52
27,98,54
26,90,55
27,89,53
27,74,53
26,100,54
26,102,52
27,104,54
25,103,53
26,104,53
26,96,54
28,95,55
26,99,55
25,101,53
27,103,54
27,111,56
26,116,53
28,106,55
26,111,56
29,107,55
28,111,56
27,106,54
27,111,54
29,107,55
26,112,55
29,111,54
27,113,54
29,104,55
28,114,54
26,110,55
27,107,56
27,106,53
27,108,55
29,104,56
28,105,55
28,135,62
26,126,62
26,128,62
27,130,62
29,131,62
28,132,61
28,130,61
28,126,62
29,123,62
26,124,60
27,122,60
27,117,60
28,124,59
29,122,58
29,116,58
27,122,57
26,119,57
28,110,59
27,114,57
27,119,58
29,118,57
28,120,56
27,116,57
26,109,55
28,111,55
28,104,56
28,105,56
28,104,54
28,105,53
28,105,54
27,105,54
28,103,54
29,99,53
28,106,53
27,108,52
26,102,54
27,105,51
28,98,53
27,100,52
27,99,52
28,101,52
28,101,52
28,100,51
28,97,51
27,98,50
28,99,51
29,96,49
27,100,49
28,100,49
26,103,50
28,101,50
26,105,50
26,96,48
27,105,51
28,107,49
29,106,52
29,105,48
28,100,48
27,106,49
28,107,49
28,111,49
27,110,48
27,110,50
27,114,50
28,114,48
27,120,48
29,118,48
28,125,50
28,130,47
27,138,48
26,147,48
28,151,48
28,147,47
27,155,49
27,152,48
27,160,47
27,156,48
27,162,48
25,161,48
28,152,52
28,148,47
26,151,48
28,141,47
29,137,47
28,137,49
28,136,48
27,138,48
28,133,48
27,131,47
28,138,48
29,137,54
28,147,53
28,137,53
29,138,53
27,129,53
26,129,54
29,123,55
27,122,56
28,114,56
29,114,55
27,108,54
28,102,54
27,105,56
27,105,53
27,104,53
28,100,56
26,103,54
28,99,54
27,102,54
28,100,53
29,94,56
28,96,56
26,97,54
27,93,55
27,104,56
28,96,54
27,98,53
28,98,54
26,95,53
27,92,54
28,93,53
27,95,54
28,91,53
28,95,53
29,101,54
27,94,54
27,91,53
28,96,53
28,99,54
27,99,53
26,96,53
28,96,51
28,95,52
26,94,53
27,98,52
28,98,52
26,103,53
28,103,51
28,95,51
27,95,53
28,88,52
28,87,51
27,90,44
28,94,52
29,97,51
27,90,52
27,93,51
27,103,50
26,94,49
28,99,51
27,102,52
28,102,50
26,103,50
27,96,51
28,99,51
28,98,49
28,108,50
27,103,49
27,103,51
27,106,50
27,99,51
27,106,50
27,104,51
27,115,50
28,107,50
28,107,50
29,114,50
28,112,50
27,105,48
28,114,48
26,118,49
29,120,49
27,119,51
28,122,47
28,127,50
26,122,50
28,121,49
28,124,50
27,123,48
27,124,49
29,118,58
29,114,57
28,110,60
28,112,57
27,115,60
28,108,60
28,108,61
27,110,60
26,108,59
28,108,60
28,102,54
27,105,59
28,96,61
26,104,58
27,101,59
26,103,64
27,97,59
27,99,58
27,101,58
27,99,60
27,93,59
28,98,58
28,99,58
28,103,58
27,105,56
26,103,55
25,104,55
28,105,56
27,106,55
27,103,57
29,102,57
29,104,55
25,100,55
28,103,55
28,101,56
27,99,55
28,93,53
26,93,56
27,95,54
27,94,55
28,89,52
29,94,53
27,92,53
28,96,53
28,96,52
28,91,51
27,94,51
27,95,53
28,89,51
26,93,54
25,100,53
28,95,52
27,97,52
28,104,52
28,102,52
26,96,51
28,96,52
27,102,53
28,104,49
27,114,50
27,118,52
26,129,49
28,125,50
27,125,51
26,133,51
26,123,49
28,124,51
26,123,49
26,131,50
27,133,51
27,134,50
28,128,50
28,132,50
29,130,51
